x,y
278230,24297
4390,597
322274,27793
33907,3630
14686,1719
112064,10623
24250,2698
14257,1675
29800,3228
17887,2049
661,121
99051,9509
299251,25938
6601,853
270222,23660
267219,23409
13432,1592
23140,2582
167119,15271
6040,787
2641,382
155107,14281
23917,2662
11320,1368
12640,1509
10000,1229
82034,8023
26692,2926
236188,20919
1684,263
187139,16931
114066,10794
53005,5409
7030,904
51003,5223
5908,777
15973,1861
11980,1436
2443,362
15544,1813
18052,2069
8251,1035
18679,2133
892,154
232184,20614
46672,4822
13003,1549
3301,464
90042,8720
1420,223
17392,2000
40123,4214
45895,4754
5347,707
4456,605
4060,560
9076,1127
9835,1213
793,138
14752,1727
355307,30400
290242,25246
7723,980
34,11
25360,2797
342294,29367
2311,344
309261,26743
1453,231
14884,1743
12145,1453
35905,3814
13894,1641
3499,489
9439,1170
19339,2191
529,99
50002,5133
283235,24702
94046,9073
119071,11220
281233,24535
1618,255
15841,1847
19768,2238
30466,3288
17755,2038
191143,17259
17491,2013
27802,3035
44785,4654
13069,1556
40345,4232
9736,1200
12673,1514
108060,10280
221173,19709
17590,2022
4951,662
223175,19871
21253,2388
75027,7396
12442,1485
139091,12931
229181,20362
595,108
37681,3990
27913,3045
13135,1562
13597,1608
88040,8548
17656,2027
170122,15507
47005,4851
5842,766
28135,3069
25582,2816
8845,1102
16699,1932
2773,403
11089,1344
19174,2174
48781,5016
17227,1983
12013,1440
14785,1733
19042,2163
6634,855
29467,3201
312264,26973
28579,3110
130082,12168
41122,4302
13960,1648
42232,4416
79031,7747
20587,2321
37459,3964
9010,1119
15610,1820
7096,909
18613,2128
4621,624
3004,431
37348,3954
14224,1672
1552,244
386338,32790
10264,1258
13201,1570
317269,27379
18910,2150
273225,23905
7921,1000
3103,442
4093,564
19999,2262
11782,1411
10297,1262
18250,2090
1651,259
5974,781
7789,986
32575,3496
7822,988
310262,26820
14356,1683
16996,1960
9505,1177
19966,2257
18580,2125
118070,11141
337289,28978
29689,3221
265,56
11155,1350
4555,617
